id	effectiveTime	active	moduleId	refSetId	referencedComponentId	attributeValue
08c276a9-c32f-49ef-b414-8224715b6005	20131216T060723Z	1	900000000000207008	450994008	74016001	
566d92ec-f6e0-4776-ab83-ab61c89d5b24	20131216T060723Z	1	900000000000207008	450994008	180291001	
4da3cb33-e3ab-48f8-8b48-7c87fb82ff73	20131216T060723Z	1	900000000000207008	450994008	52052004	
cd19ce08-5301-4354-988a-7032b89515c4	20131216T060723Z	1	900000000000207008	450994008	416608005	
311787ee-d103-4f85-b217-c53d9dfa9099	20131216T060723Z	1	900000000000207008	450994008	19578002	
76a4dbc4-a82f-4d16-96be-83ced8ee7f67	20131216T060723Z	1	900000000000207008	450994008	270425006	
b019e63d-5dd8-42ab-961a-37587b1a1c44	20131216T060723Z	1	900000000000207008	450994008	24496007	
c57c8088-8c44-4c3b-abc4-d3faa37d8bad	20131216T060723Z	1	900000000000207008	450994008	38102005	
ce82d4bf-c47b-4d6a-8bcd-54071e507ab2	20131216T060723Z	1	900000000000207008	450994008	172676009	
146a2c81-43c2-478b-9c47-51d1a8f4cbd2	20131216T060723Z	1	900000000000207008	450994008	183548008	
c6e1dff4-aa21-4fad-8860-9066808d50b3	20131216T060723Z	1	900000000000207008	450994008	41453009	
21cf8be0-c65c-4971-8dc6-4b9097132e0b	20131216T060723Z	1	900000000000207008	450994008	11101003	
768aa788-52ba-416c-8446-15d460e03cee	20131216T060723Z	1	900000000000207008	450994008	281099003	
1d39c176-7cb6-42f5-a586-decb692085f9	20131216T060723Z	1	900000000000207008	450994008	178668000	
ebebf3ac-e865-45d8-b7e0-9cea418e11d2	20131216T060723Z	1	900000000000207008	450994008	183541002	
5d46a2e8-e7ec-4a26-9fe8-089af27cd6da	20131216T060723Z	1	900000000000207008	450994008	274407009	
20228c31-4dc0-4fe2-8ce6-7ec66450a0af	20131216T060723Z	1	900000000000207008	450994008	73152006	
fe02c3ce-f3b4-4bcb-8a26-f2d2288bee4a	20131216T060723Z	1	900000000000207008	450994008	297709009	
18354b0a-aa34-4886-8f31-9c83ad04a4b8	20131216T060723Z	1	900000000000207008	450994008	171434007	
a3b96a40-18ed-4d9e-b3a7-6d896839d8b0	20131216T060723Z	1	900000000000207008	450994008	385956002	
5cec8398-5857-48a2-a9c3-12e025d4e2cd	20131216T060723Z	1	900000000000207008	450994008	275972003	
d8f2fdbb-ffac-4fa3-a4aa-082194cf7251	20131216T060723Z	1	900000000000207008	450994008	390906007	
c03c95c3-aa5d-4380-be8e-ec6f9ef0c86e	20131216T060723Z	1	900000000000207008	450994008	397760009	
49c0467a-aa4f-4752-85c6-c19ab85c3507	20131216T060723Z	1	900000000000207008	450994008	91251008	
f5df6e60-68c2-4d4c-a3df-7e822ddc9619	20131216T060723Z	1	900000000000207008	450994008	103699006	
04326d83-def1-45c0-9689-876425392a17	20131216T060723Z	1	900000000000207008	450994008	386322007	
63c7d0c5-30eb-4443-b331-59adad96cdf6	20131216T060723Z	1	900000000000207008	450994008	171358005	
2c1016ca-7bf4-4bd1-be8f-d9e5f3b4253d	20131216T060723Z	1	900000000000207008	450994008	37799002	
d61e0350-7af0-48d4-965b-a9d0531e4a71	20131216T060723Z	1	900000000000207008	450994008	302434002	
76b0132e-2302-4587-b4bc-412381ac5731	20131216T060723Z	1	900000000000207008	450994008	179390003	
cba4de5f-d70d-4d10-9c51-cfc7c326aab0	20131216T060723Z	1	900000000000207008	450994008	8367003	
afeaadf4-30eb-451c-a5ec-3e1a554abada	20131216T060723Z	1	900000000000207008	450994008	302383004	
cf7f1241-7de1-4c11-b007-53fdb17db70c	20131216T060723Z	1	900000000000207008	450994008	183444007	
d33db5ed-d168-4fb7-94e5-6a7462b3607e	20131216T060723Z	1	900000000000207008	450994008	165813002	
4e5185b3-aa71-4c55-a59b-fbcf34317436	20131216T060723Z	1	900000000000207008	450994008	48387007	
56580b67-2016-40ae-a01b-8b130c6e72f6	20131216T060723Z	1	900000000000207008	450994008	225323000	
