id	effectiveTime	active	moduleId	refSetId	referencedComponentId	attributeValue
bffbb3c2-7a96-4070-8cfd-2e066c6c1b1f	20131216T060854Z	1	900000000000207008	450994008	48694002	
c53f7c15-fad0-4f86-b18b-9f85f7e506ed	20131216T060854Z	1	900000000000207008	450994008	386689009	
703d21db-5f9a-410a-beea-f5d7b657ecdd	20131216T060854Z	1	900000000000207008	450994008	91175000	
4671f110-55fc-43fd-9b52-6f30e514bfc8	20131216T060854Z	1	900000000000207008	450994008	43724002	
9970504a-3185-4e2f-9d57-64cbb65313e3	20131216T060854Z	1	900000000000207008	450994008	224977004	
e5574994-acbb-43b1-b541-3c76f199c9db	20131216T060854Z	1	900000000000207008	450994008	45757002	
45fee66b-e394-4190-a117-71986bcbc93d	20131216T060854Z	1	900000000000207008	450994008	18876004	
7e6483bd-8a5f-4cef-b45d-cbb694a470f9	20131216T060854Z	1	900000000000207008	450994008	129844000	
828dec59-6095-4c33-aa13-f8c47ff1a687	20131216T060854Z	1	900000000000207008	450994008	309086004	
6538ac6f-2a0b-4a60-aebf-3211e4c65105	20131216T060854Z	1	900000000000207008	450994008	2314005	
11fe2b21-6c14-42b8-b231-8a0050870c39	20131216T060854Z	1	900000000000207008	450994008	20301004	
3b1c0012-216b-4bea-85eb-b8fe6cad4690	20131216T060854Z	1	900000000000207008	450994008	40917007	
3042d198-99dd-4d7c-ae87-d413ae12c588	20131216T060854Z	1	900000000000207008	450994008	165332000	
79db8e6b-8fcf-4035-8363-926ac589ba20	20131216T060854Z	1	900000000000207008	450994008	21134002	
64986688-f4b6-40b6-8efa-13daa2bb38ec	20131216T060854Z	1	900000000000207008	450994008	185351004	
66759941-7e1c-4190-a621-ade97f125507	20131216T060854Z	1	900000000000207008	450994008	82991003	
38b7707c-9b00-4d80-a427-1c34e977290a	20131216T060854Z	1	900000000000207008	450994008	27678003	
f9f4ee0b-dc1e-4da7-aa41-c178a648d65a	20131216T060854Z	1	900000000000207008	450994008	299060006	
0a37a269-91e3-4fda-89f5-cdc5a814a9ee	20131216T060854Z	1	900000000000207008	450994008	23268009	
8cb8ec12-1ec7-493c-8ade-ff8843b1d52f	20131216T060854Z	1	900000000000207008	450994008	48167000	
4a8afa81-eb4c-43c4-9f90-85b7f2a186e1	20131216T060854Z	1	900000000000207008	450994008	8517006	
5ff9a2b8-adfe-441a-844b-69cc9f1b6a4b	20131216T060854Z	1	900000000000207008	450994008	54586004	
66c76389-7e68-4ed1-bde9-9f4bd34c99dd	20131216T060854Z	1	900000000000207008	450994008	418290006	
5e1cd9c6-15fa-4603-8a1d-8aa39eaca148	20131216T060854Z	1	900000000000207008	450994008	62744007	
4b2337b0-9652-4a86-9557-fe5c0837943f	20131216T060854Z	1	900000000000207008	450994008	4821001	
3924b0f9-3f85-4d34-9db2-0bdb64508b5e	20131216T060854Z	1	900000000000207008	450994008	9763007	
7d49278c-5eed-4a14-a5d7-11e42719782e	20131216T060854Z	1	900000000000207008	450994008	35491004	
d156791c-bad9-4150-aabf-6c580b03b5ad	20131216T060854Z	1	900000000000207008	450994008	105484002	
37dc5538-cf4c-42e2-875f-9464a9f996a4	20131216T060854Z	1	900000000000207008	450994008	30721006	
df8578d2-1870-4356-b3d7-c4afb9ca3769	20131216T060854Z	1	900000000000207008	450994008	102421000	
5ee0ca11-dcb7-40f8-bd98-0d11b9f4b830	20131216T060854Z	1	900000000000207008	450994008	214264003	
7db726c4-c75d-4be7-bf85-97356b32cbd7	20131216T060854Z	1	900000000000207008	450994008	309469004	
81f966a3-c200-4b30-9f54-5123e9df7399	20131216T060854Z	1	900000000000207008	450994008	42800007	
e932e869-1047-4c7d-9d8f-dd45b3fc3743	20131216T060854Z	1	900000000000207008	450994008	248298009	
dabe9716-3158-4f13-9756-78b76d10999c	20131216T060854Z	1	900000000000207008	450994008	409037000	
7e3ec3f5-6ad0-41f4-aa0f-9256cbda916e	20131216T060854Z	1	900000000000207008	450994008	68962001	
b8f773e5-a021-4a29-a977-1bd1f14c0dba	20131216T060854Z	1	900000000000207008	450994008	313279000	
06f0d9e8-7262-4b8e-8e9c-fbff9ef93f8d	20131216T060854Z	1	900000000000207008	450994008	262551003	
6256a887-bb66-4d9a-8806-86bb9b734d44	20131216T060854Z	1	900000000000207008	450994008	297982009	
412162c5-022f-436b-8730-b44cfeb6d501	20131216T060854Z	1	900000000000207008	450994008	300197009	
7bb60627-941d-4071-8c93-76df3bef2359	20131216T060854Z	1	900000000000207008	450994008	36349006	
88325bfa-f80f-4344-b1aa-3130100e4948	20131216T060854Z	1	900000000000207008	450994008	395507008	
e6c31008-097b-4012-871a-295579db6507	20131216T060854Z	1	900000000000207008	450994008	30473006	
b0b59d01-173b-4b86-a0f6-56f12a619dc2	20131216T060854Z	1	900000000000207008	450994008	65124004	
c90af5a5-7424-4081-9c68-6ea19873568e	20131216T060854Z	1	900000000000207008	450994008	7093002	
e370b23b-e8b9-4d84-9957-ae2f1dacfa39	20131216T060854Z	1	900000000000207008	450994008	315642008	
