id	effectiveTime	active	moduleId	refSetId	referencedComponentId	attributeValue
526c1b4e-7bdc-45d0-b658-cbfb257ffc6c	20131216T060551Z	1	900000000000207008	450994008	414285001	
0451fd5d-d66b-4985-8522-1455bf1a3b24	20131216T060551Z	1	900000000000207008	450994008	294914009	
eebb01f7-f507-4b97-be33-4d2adb2d9842	20131216T060551Z	1	900000000000207008	450994008	293586001	
c9948bb0-6eef-4a5a-a6e0-b9404f997535	20131216T060551Z	1	900000000000207008	450994008	294461000	
05cd0b76-d7f1-432a-934d-fc66d0e9df4b	20131216T060551Z	1	900000000000207008	450994008	300916003	
44b71e6d-69e1-4289-a23a-5b427814ca81	20131216T060551Z	1	900000000000207008	450994008	91935009	
4e023a1c-08de-4cc9-b8d3-5bccd2cf4d53	20131216T060551Z	1	900000000000207008	450994008	91936005	
0dea1488-93cd-43a3-9d9a-8f5ae2d41ddf	20131216T060551Z	1	900000000000207008	450994008	213024000	
bfb193cc-61d5-41e2-b4d3-29a291e44c37	20131216T060551Z	1	900000000000207008	450994008	282095007	
60fcd263-2b70-4f16-9be3-efcb924e77cc	20131216T060551Z	1	900000000000207008	450994008	416093006	
4da5e4c0-e3ea-4267-9617-18dd639992a5	20131216T060551Z	1	900000000000207008	450994008	416098002	
f7acb4bc-4ad0-49eb-856f-6f73327e6ea4	20131216T060551Z	1	900000000000207008	450994008	294505008	
950425e6-5348-44b3-a54a-3b6d9a2f8446	20131216T060551Z	1	900000000000207008	450994008	217673009	
81815b6f-60d1-4f9c-ab54-dd707fa6a00b	20131216T060551Z	1	900000000000207008	450994008	418634005	
e52c64df-03da-4bef-be1d-e1c72af50ee4	20131216T060551Z	1	900000000000207008	450994008	57302007	
9890fab9-0c0c-46b8-8fd7-d9bcb090bcb2	20131216T060551Z	1	900000000000207008	450994008	422290000	
bb51bb88-1be5-47f0-83d8-5d3201e51ff8	20131216T060551Z	1	900000000000207008	450994008	106190000	
c129f9b8-bcc4-4077-b126-edbb75127272	20131216T060551Z	1	900000000000207008	450994008	91930004	
d65d96bb-9a65-44a3-961f-f26853bb37e6	20131216T060551Z	1	900000000000207008	450994008	232346004	
