id	effectiveTime	active	moduleId	refSetId	referencedComponentId	attributeValue
e2d88ccf-d349-4651-86e3-931e688fccd0	20131216T061652Z	1	900000000000207008	450994008	48694002	
3c299a83-285a-4d0b-b6e0-bcc09b06ba0b	20131216T061652Z	1	900000000000207008	450994008	386689009	
c655a76d-fd3e-4caa-b54f-cf81f671d37e	20131216T061652Z	1	900000000000207008	450994008	91175000	
7177ee93-1397-4a68-90a0-2e6add8a902a	20131216T061652Z	1	900000000000207008	450994008	43724002	
c0a73b77-14ee-4767-828f-3604e53af921	20131216T061652Z	1	900000000000207008	450994008	224977004	
7eb15935-efed-4291-8c74-82cb85c15d5c	20131216T061652Z	1	900000000000207008	450994008	45757002	
df80b4b5-994b-4d8f-b718-fc3afb5d6489	20131216T061652Z	1	900000000000207008	450994008	18876004	
4a0f78f9-98f8-4651-bfda-02fa9c82fdb7	20131216T061652Z	1	900000000000207008	450994008	129844000	
fbe53d23-a073-44b9-9e34-dc48e393594a	20131216T061652Z	1	900000000000207008	450994008	309086004	
67ad9558-1c8c-4dbb-92be-ccaf62b0b650	20131216T061652Z	1	900000000000207008	450994008	2314005	
046ff636-1453-4721-995e-c93f9ea20df9	20131216T061652Z	1	900000000000207008	450994008	20301004	
df4603a0-fe15-4934-a533-21d2167f6ce5	20131216T061652Z	1	900000000000207008	450994008	40917007	
ff0322bd-a48d-4d2c-8697-3c238677f3a4	20131216T061652Z	1	900000000000207008	450994008	21134002	
155b41d5-fef0-47fb-b444-e86d1141046b	20131216T061652Z	1	900000000000207008	450994008	82991003	
6511fef7-3999-4350-8673-93479bd84458	20131216T061652Z	1	900000000000207008	450994008	27678003	
94af884e-ca76-4c2b-8e5b-cdfda9082832	20131216T061652Z	1	900000000000207008	450994008	23268009	
46d3ab87-e746-430b-86fe-c0fb26daec45	20131216T061652Z	1	900000000000207008	450994008	48167000	
fbde4f44-a407-49d4-9a2c-5cd15f975d80	20131216T061652Z	1	900000000000207008	450994008	8517006	
8578e975-67e5-4379-962d-8337d959985c	20131216T061652Z	1	900000000000207008	450994008	54586004	
43326df4-26bd-4194-bf51-938004cae07b	20131216T061652Z	1	900000000000207008	450994008	418290006	
3e7e757e-d1e1-457b-88f0-07c3c94ad7e0	20131216T061652Z	1	900000000000207008	450994008	62744007	
0e04cd84-7712-4eef-a216-03d67528922b	20131216T061652Z	1	900000000000207008	450994008	4821001	
c9472208-770c-4c00-a486-8b8b3f7c5b04	20131216T061652Z	1	900000000000207008	450994008	9763007	
8f64bbae-e031-4403-8f0c-122ec3b81992	20131216T061652Z	1	900000000000207008	450994008	35491004	
79fde286-015c-4185-8efe-918e7c103fe8	20131216T061652Z	1	900000000000207008	450994008	105484002	
7232ccfc-a41a-4194-8fb3-cfd3ff830cfd	20131216T061652Z	1	900000000000207008	450994008	30721006	
dcca6a54-45c0-4864-9ab6-fa4d277189b6	20131216T061652Z	1	900000000000207008	450994008	214264003	
51c7d28e-cdb7-4749-b98b-cec1233baecd	20131216T061652Z	1	900000000000207008	450994008	309469004	
85859092-3f74-4321-9aad-e975426f50f7	20131216T061652Z	1	900000000000207008	450994008	42800007	
97169ea2-c9ff-4008-b09a-455ec02fe0a4	20131216T061652Z	1	900000000000207008	450994008	248298009	
d70d8f80-b673-48be-92c0-258c4ce65d48	20131216T061652Z	1	900000000000207008	450994008	409037000	
652a1aa7-c0c1-49e7-acc4-cf009b616bfb	20131216T061652Z	1	900000000000207008	450994008	68962001	
f9ff558c-c2db-429b-ac7f-e124959108f8	20131216T061652Z	1	900000000000207008	450994008	313279000	
65d38cd0-5c08-4899-ab5f-9f9dcca57876	20131216T061652Z	1	900000000000207008	450994008	262551003	
00354825-e0b4-4f7d-aa6b-612629812a5f	20131216T061652Z	1	900000000000207008	450994008	297982009	
666ed619-c447-4f8a-82b3-de3ad81a2f46	20131216T061652Z	1	900000000000207008	450994008	300197009	
c398fe1f-5383-4606-96d0-c8e4faf6c291	20131216T061652Z	1	900000000000207008	450994008	36349006	
854e9057-35bb-40b5-8d0b-814c8788a993	20131216T061652Z	1	900000000000207008	450994008	395507008	
ff3d651e-0652-4498-b6ce-7054230002b1	20131216T061652Z	1	900000000000207008	450994008	30473006	
b74d5cce-a6a2-4a06-9e23-047918e894ed	20131216T061652Z	1	900000000000207008	450994008	65124004	
4ddc8178-d940-4b20-8372-c6d1cc8ff40a	20131216T061652Z	1	900000000000207008	450994008	7093002	
5da3efc5-a44a-4f10-9fe9-af5bb876fe38	20131216T061652Z	1	900000000000207008	450994008	315642008	
bd51c128-c88d-447c-8957-5c9b8ed36cd9	20131216T061652Z	1	900000000000207008	450994008	278040002	
19148ab0-de24-493a-9836-836d85e3289f	20131216T061652Z	1	900000000000207008	450994008	386692008	
62090a7d-ce2d-4bbd-9886-72960a87a73b	20131216T061652Z	1	900000000000207008	450994008	271739002	
f9a1930b-9578-4fa0-8f70-1fc34f21ea4e	20131216T061652Z	1	900000000000207008	450994008	424196004	
956e5186-58f1-4158-b339-a5c0dd341be1	20131216T061652Z	1	900000000000207008	450994008	102614006	
6fe93b10-1fa6-434d-8eda-eaa5127304e5	20131216T061652Z	1	900000000000207008	450994008	429783005	
c0b5831a-a3c5-4eb4-82f3-3e37b6007288	20131216T061652Z	1	900000000000207008	450994008	279029001	
a2e6db2b-a520-45a8-aa8a-6724f404b7d5	20131216T061652Z	1	900000000000207008	450994008	102618009	
033b0eb2-1c91-4ecd-9cb7-52e83415b4d9	20131216T061652Z	1	900000000000207008	450994008	39575007	
7d715af8-cf91-41df-a646-5d908bed77b8	20131216T061652Z	1	900000000000207008	450994008	425131000	
d41b8c9f-595b-4b96-9b0e-919ef09e40a8	20131216T061652Z	1	900000000000207008	450994008	301717006	
c9b6dbc3-ceb4-4332-966b-0ef9171e76cd	20131216T061652Z	1	900000000000207008	450994008	61281005	
b3f87396-8c65-40c9-84b9-ed5e1537364b	20131216T061652Z	1	900000000000207008	450994008	274147008	
335169e7-8bcf-427b-bf19-3d2d16a6480b	20131216T061652Z	1	900000000000207008	450994008	160830003	
2a0f8e62-1119-4eab-8fab-7c19852d829a	20131216T061652Z	1	900000000000207008	450994008	13791008	
cc5b5fc8-339c-428e-af54-38bb41ac2770	20131216T061652Z	1	900000000000207008	450994008	309615009	
e89a1b86-45e6-463f-9b73-0c5f5256120a	20131216T061652Z	1	900000000000207008	450994008	48867003	
3a955f30-23dc-4155-a8fb-7ee2d5ac2c45	20131216T061652Z	1	900000000000207008	450994008	53430007	
27d93811-3c57-4b0a-8f40-3a855759a6d1	20131216T061652Z	1	900000000000207008	450994008	33553000	
cc5127eb-f081-40c1-96dd-e145fde904c7	20131216T061652Z	1	900000000000207008	450994008	238131007	
59baf19b-a513-4bc4-aa60-5d69fcf4e0ed	20131216T061652Z	1	900000000000207008	450994008	95673003	
5adf0d8a-16d7-4e20-8ab3-f45d7f2ef264	20131216T061652Z	1	900000000000207008	450994008	268463003	
